What is relevance?,How well a document matches a user's information need.,basics
What is precision?,Relevant retrieved / retrieved.,basics
What is recall?,Relevant retrieved / relevant.,basics
What is the precision–recall tradeoff?,Higher recall reduces precision and vice versa.,basics
What is MAP?,Mean Average Precision across all query average precisions.,basics
What is nDCG?,Normalised DCG measuring ranked relevance.,basics
What is a relevance judgment?,Human labeling of document relevance.,basics
What is pooling?,Technique used in IR evaluation to gather candidate relevant docs.,basics
What is Zipf’s Law?,Rank × frequency ≈ constant.,indexing
Why ignore common words?,They do not discriminate documents.,indexing
Why ignore rare words?,Often typos or noise.,indexing
What is tokenisation?,Splitting text into tokens.,indexing
What is stopword removal?,Deleting high-frequency function words.,indexing
What is stemming?,Reducing words to their root form.,indexing
What is an inverted index?,Term → list of docIDs.,indexing
What is a posting?,Item containing docID + optional frequency or positions.,indexing
What is a skip pointer?,Shortcut pointer within a posting list.,indexing
What is positional indexing?,Storing term positions for phrase search.,indexing
What is a phrase query?,Query requiring exact word sequence match.,indexing
What is a biword index?,Index over word pairs.,indexing
What is a K-gram index?,Index over substrings of size K.,indexing
Why use K-gram indexes?,Enable wildcard searching.,indexing
What is self-attention?,Mechanism where each token attends to all others.,transformers
What is multi-head attention?,Parallel attention operations capturing different patterns.,transformers
Why positional encodings?,Transformers lack sequence order awareness.,transformers
What are relative position encodings?,Encode relative distances between tokens.,transformers
What is masked attention?,Decoder sees only previous tokens.,transformers
What is an encoder?,Bidirectional contextual representation generator.,transformers
What is a decoder?,Autoregressive generator of tokens.,transformers
What is BERT?,Encoder-only transformer.,transformers
What is GPT?,Decoder-only transformer.,transformers
What is TF?,Term frequency within a document.,lexical_models
What is DF?,Number of documents containing a term.,lexical_models
What is IDF?,Weights rare terms higher: log(N/df).,lexical_models
What is TF-IDF?,TF × IDF weighting scheme.,lexical_models
Why TF-IDF?,"Downweights common terms, upweights rare ones.",lexical_models
What is probabilistic relevance framework?,Ranking based on probability of relevance.,lexical_models
What is query term independence?,Assumes term contributions are independent.,lexical_models
What is BM25?,"Ranking based on TF, IDF, and length normalisation.",lexical_models
What does k1 control?,Term frequency saturation.,lexical_models
What does b control?,Document length normalisation.,lexical_models
What are dense retrievers?,Embed queries/documents for semantic similarity search.,dense_retrievers
Why dense retrievers?,Capture semantic similarity beyond lexical overlap.,dense_retrievers
What is contrastive learning?,"Bring positives closer, push negatives apart.",dense_retrievers
What are positive pairs?,Query and relevant document.,dense_retrievers
What are hard negatives?,Documents similar to positive but irrelevant.,dense_retrievers
Why hard negatives?,Improve fine-grained discrimination.,dense_retrievers
What is in-batch negatives?,Use batch samples as negatives.,dense_retrievers
What is cosine similarity?,Dot product of normalised vectors.,dense_retrievers
Why normalise vectors?,Ensure cosine similarity is meaningful.,dense_retrievers
What is ANN?,Approximate nearest neighbor search.,dense_retrievers
What is FAISS?,Library for fast ANN search.,dense_retrievers
What is vector quantisation?,Compression of embeddings.,dense_retrievers
What is DPR?,Dual-encoder retriever using CLS embeddings.,dense_retrievers
What loss does DPR use?,InfoNCE contrastive loss.,dense_retrievers
What is RepBERT?,Mean-pooling retriever.,dense_retrievers
What is Contriever?,Unsupervised dense retriever.,dense_retrievers
What is ColBERT?,Multi-vector late interaction model.,dense_retrievers
Why rerank?,Improve ranking quality after initial retrieval.,rerankers
What is pointwise LTR?,Predict score per document.,rerankers
What is pairwise LTR?,Learn document preferences.,rerankers
What is listwise LTR?,Optimise metrics over whole ranking.,rerankers
Example pointwise model?,Regression-based scoring.,rerankers
Example pairwise model?,RankNet.,rerankers
